course_code,name,num_students,prof
CHEM112,General Chemistry,143,Stephen Brown
CHEM211,Main Group Chemistry,48,Peng Wang
CHEM212,Principles of Chemical Reactivity,23,Jason Vlahakis
CHEM213,Introduction to Chemical Analysis,48,Zhe She
CHEM222,Methods of Structure Determination,130,Lucia Lee
CHEM223,Organic Reactions,24,Anne Petitjean
CHEM281,General Organic Chemistry I (with Virtual Laboratory),22,John Carran
CHEM282,General Organic Chemistry II,140,David Zechel
CHEM311,Mechanistic Organic Chemistry,70,Graeme Howe
CHEM312,Transition Metal Chemistry,73,Peng Wang
CHEM313,Quantum Mechanics,111,Tucker Carrington
CHEM322,The Chemical Bond: Computation and Spectroscopy,131,Gang Wu
CLST102,Introduction to Greek Civilization,101,Jan-Mathieu Carbon
CLST103,Introduction to Roman Civilization,88,Bernard Kavanagh
CLST130,Introduction to Archaeology l: Great Discoveries in Archaeology,98,Cristiana Zaccagnino
CLST131,Introduction to Archaeology ll: Methods and Analysis,109,M Barbara Reeves
CLST150,Warfare in the Ancient World,68,Fabio Colivicchi
CLST201,Roman History,117,Bernard Kavanagh
CLST203,Myth and Religion,120,R Drew Griffith
CLST205,Ancient Humour,138,Callie Callon
CLST208,The Levant from the Late Bronze Age to the Coming of Rome,138,Jan-Mathieu Carbon
CLST214,Ancient Science,39,Alicia Finan
CLST304,Archaeology of the Classical World and Hellenistic Period,84,Cristiana Zaccagnino
CLST340,The Roman Republic,80,Beatrice Poletti
COGS100,Introduction to Cognitive Science,130,Farhana Zulkernine
COGS201,Cognition and Computation,94,Carolyn Lamb
CISC101,Introduction to Computer Programming,111,Samir Mohammad
CISC102,Discrete Structures I,45,Selim G Akl
CISC121,Introduction to Computing Science I,69,Richard Linley
CISC124,Introduction to Computing Science II,40,Paul Allison
CISC151,Elements of Computing with Data Analytics,119,Maram Assi
CISC181,Digital Societies,120,Carolyn Lamb
CISC203,Discrete Structures II,108,Christian Muise
CISC204,Logic for Computing Science,65,Victoria  Armstrong
CISC220,System-Level Programming,67,Samir Mohammad
CISC221,Computer Architecture,134,Sidney Givigi
CISC223,Software Specifications,121,Benjamin Cecchetto
CISC226,Game Design,28,Carolyn Lamb
CISC235,Data Structures,132,Yuan Tian
CISC251,Data Analytics,108,David Skillicorn
CISC271,Linear Data Analysis,105,Rachel Theriault 
CISC322,Software Architecture,36,Bram Adams
CISC325,Human-Computer Interaction,123,Sara Nabil
CISC327,Software Quality Assurance,133,Steven Ding
CISC332,Database Management Systems,51,Wendy L Powley
CISC335,Computer Networks,102,Yuanzhu Chen
CISC351,Advanced Data Analytics,94,Yuan Tian
CISC352,Artificial Intelligence,42,Christian Muise
CISC360,Programming Paradigms,24,Jana Dunfield
CISC365,Algorithms I,91,Ting Hu
CISC371,Nonlinear Data Analysis,51,Randall Ellis
CISC423,Software Requirements,94,Reza Ahmadi
CISC451,Topics in Data Analytics,31,Yuan Tian
CISC452,Neural and Genetic Computing,146,Hazem Abbas
CISC454,Computer Graphics,131,James A Stewart
CISC457,Image Processing and Computer Vision,125,James A Stewart
CISC497,"Social, Ethical and Legal Issues in Computing",66,Catherine Stinson
CISC498,Information Technology Project,27,Anwar Hossain
CISC499,Advanced Undergraduate Project,116,Christian Muise
CWRI281,Literary Genres,75,Juliane Okot Bitek
DRAM100,"Introduction to Drama, Theatre, and Performance Studies",29,Grahame Renyk
DRAM200,Theatre History and Literature I,107,Kelsey Jacobson
DRAM220,Play Reading and Analysis,82,Gregory Wanless
DRAM240,Introduction to Theatre Production I,125,Joe Pagnan
DRAM242,Introduction to Theatre Production II,136,Joe Pagnan
ECON110,Principles of Economics,104,Ian James Cromb
ECON112,Introductory Macroeconomics,138,Rajni Dogra
ECON212,Microeconomic Theory I,67,Rajni Dogra
ECON222,Macroeconomic Theory I,30,Yiran Gong
ECON231,Emergence of the Modern Industrial Economy,103,Ian Keay
ECON232,The Diffusion of Modern Economic Growth,52,Ian Keay
ECON239,Economic Development,85,Huw Lloyd-Ellis
ECON243,The Economics of Health Care,34,Ugurhan Gazi Berkok
ECON250,Introduction to Statistics,57,Marcos Lee
ECON255,Introduction to Mathematical Economics,118,Jan Zabojnik
ECON280,Population and Economic Change,139,Anya P Hageman
ECON310,Microeconomic Theory II,67,Karen Ye
ECON320,Macroeconomic Theory II,31,Beverly Lapham
ECON322,Financial Markets and Risk Management,149,Thorsten Koepll
ECON332,Economic History of North America since 1865,51,Ian Keay
ECON351,Introductory Econometrics,68,Michael Barber
ECON360,Labour Economics,39,Michael Barber
ECON423,Topics in Financial Economics,141,Frank Milne
ECON425,International Trade Theory and Policy,141,Beverly Lapham
ECON426,International Macroeconomics,130,Gregor Smith
ECON430,Issues in Economic History,80,Ian Keay
ECON437,Cost-Benefit Analysis,142,Bahman Kashi
ECON440,Public Economics,32,Allen C Head
ECON450,Topics in Advanced Econometrics,49,Steve Lehrer
ECON452,Applied Econometrics,37,Christopher Ferrall
ECON491,Seminar in Macroeconomics II,39,Mike Kennedy
EMPR200,Unions and Labour Relations,147,Robert Hickey
EMPR210,Employment Law,148,Shannon Webb
EMPR220,Conflict Management,65,Jacoba Lilius
EMPR270,Introduction to Organizational Behaviour,59,Jacoba Lilius
ENGL100,Introduction to Literary Study,23,Christopher J Fanning
ENGL101,What Is Literature?,46,Scott-Morgan Straker
ENGL104,"Horror, Sci Fi, Fantasy",36,Dr. Brooke  Cameron
ENGL118,Literature and Mental Health,142,Angela Facundo
ENGL160,Modern Prose Fiction,63,Adam Cotton
ENGL161,Modern Prose Fiction l: The Elements of Fiction,61,Adam Cotton
ENGL162,Modern Prose Fiction ll: Pathways Through Fiction,55,Adam Cotton
ENGL200,History of Literature in English,72,Allen MacDuffie
ENGL215,Canadian Literature,118,Robert May
ENGL223,Selected Women Writers Post-1900,21,Heather A Evans
ENGL234,The Short Story in English,20,Veronika Kratz
ENGL235,Life Writing,46,Jesyka Taylor
ENGL237,Children's Literature,55,Heather A Evans
ENGL273,Literature and the Fantastic,47,Ruth Wehlau
ENGL290,Seminar in Literary Interpretation,56,Christopher J Fanning
ENGL296,Introduction to Literary Criticism and Theory l,66,Angela Facundo
ENGL310,Medieval Literature of the British Isles,105,Ruth Wehlau
ENGL330,Restoration and 18th Century Literature,139,Christopher J Fanning
ENGL351,Victorian Literature,99,Steven Asselin
ENGL356,British Fiction of the 19th Century,131,Heather A Evans
ENGL357,19th-Century British Literature and Visual Culture,56,Heather A Evans
ENGL360,Modern Literature,81,Adam Cotton
ENGL375,American Literature,72,Kristin Moriah
ENGL389,Context North America,143,Petra Fachinger
ENGL431,Topics in Restoration and 18th-Century Literature I,119,Leslie Ritchie
ENGL436,Group I: Special Topics I,90,Leslie Ritchie
ENGL451,Topics in Victorian Literature I,115,Heather A Evans
ENGL476,Topics in Postcolonial Literature I,67,Christopher Laurence Bongie
ENGL482,Topics in Indigenous Literature II,25,Petra Fachinger
ENGL486,Group III: Special Topics I,123,Veronika Kratz
ENGL487,Group III: Special Topics II,58,Gabrielle S McIntire
ENGL491,Topics in Literary Interpretation I,118,Glenn Wilmott
ENGL496,Topics in Literary Criticism and Theory I,139,Angela Facundo
ENGL497,Topics in Literary Criticism and Theory II,148,Angela Facundo
ENIN200,Foundations of Entrepreneurship,55,Greg Bavington
ENIN340,Topics in Innovation and Entrepreneurship,30,Sidney Eve Matrix
ENSC103,Environment and Sustainability,60,Kristen Lowitt
ENSC230,Principles of Sustainability,104,Geoffrey Hall
ENSC290,Introduction to Ecological Economics,63,Steven Moore
ENSC301,Environmental Assessment,71,Graham Whitelaw
ENSC390,Sustainability,34,Diane Orihel
FILM104,Film Form and Modern Culture to 1970,36,Robert Hyland
FILM110,"Film, Media and Screen Cultures",125,Scott MacKenzie
FILM111,"Film, Media, and Screen Cultures: History and Aesthetics",52,Gary Kibbins
FILM210,The Horror Film,29,Dan Vena
FILM217,Film Theory and History,80,Adam Cook
FILM218,Media Theory and History,33,Jonas Jacobson
FILM236,Media and Cultural Studies,83,Ian Robinson
FILM240,Media and Popular Culture,59,Philippe Gauthier
FILM250,Fundamentals of Media Production,127,Danae Elon
FILM260,Digital Media Theory,38,Philippe Gauthier
FILM335,Culture and Technology,146,Philippe Gauthier
FILM336,Film and Politics,65,Eric Chalfant
FILM340,Advertising and Consumer Culture,27,Ian Robinson
FILM342,Studies in Alternative Media,80,Tamara de Szegheo Lang
FILM390,Open Media Production,34,Gabriel Menotti
FREN106,Communication et culture I,43,Francesca Fiore
FREN107,Communication et culture II,135,Frederique Offredi
FREN150,Français intermédiaire,60,Michael Reyes
FREN230,Analyse textuelle et étude de la langue,35,Julien Lefort-Favreau
FREN231,Rédaction et style,32,Francesca Fiore
FREN320,Communication et culture V,59,François Rouget
FREN324,Le roman français du 20e siècle,94,Johanne Benard
FREN343,Histoire culturelle et littéraire de la francophonie et du Québec,88,Michael Reyes
FREN360,Grammaire avancée,71,Johanne Benard
FREN387,Littérature du 17e siècle,149,Francesca Fiore
FREN390,Genre et littérature,41,Francesca Fiore
FREN498,Séminaire de lecture,102,François Rouget
GNDS120,"Women, Gender, Difference",135,Habibe Baba
GNDS125,"Gender, Race, and Popular Culture",113,Habibe Baba
GNDS211,Feminist Histories,49,Nancy Butler
GNDS212,"Racism, Colonialism, and Resistance",84,Trish Salah
GNDS215,Introduction to Sexual and Gender Diversity,107,Elizabeth Brule
GNDS285,Transgender Politics and Representation,89,Trish Salah
GNDS295,Comics and Politics,88,Christopher Bennett
GNDS315,Feminist Pedagogies,99,Melissa Houghtaling
GNDS335,Science Fiction and Fantasy,22,Jane Tolmie
GPHY101,Human Geography,103,Anne M C Godlewska
GPHY207,Principles of Biogeography,85,Rachel Kuzmich
GPHY209,Weather and Climate,35,Ian Strachan
GPHY228,Geographies of the Global Political Economy,74,Kesha  Fevrier
GPHY242,Remote Sensing I: Remote Sensing of the Environment,58,Laura Thomson
GPHY304,Northern and Arctic Environments,120,Robert Way
GPHY336,"Geography, the Environment and Human Health",46,Patricia Collins
GPHY352,Gender and the City,114,Hilal Kara
GPHY367,People and Place in the Changing Arctic,21,Mark Stoller
GPHY368,Environments and Society,121,Laura Cameron
GEOL104,The Dynamic Earth,120,Christopher Omelon
GEOL106,Environmental Geology and Natural Hazards,87,Christa Pufahl
GEOL107,History of Life,79,Guy M Narbonne
GEOL221,Geological Field Methods,45,Robin Harrap
GEOL362,Petrology Applied to Ore Deposit,70,Gema Olivo
GRMN101,Beginner's German I,143,Christiane Arndt
GRMN102,Beginner's German II,123,Monika Holzschuh Sator
DEVS100,"Canada and the ""Third World""",22,Guy Crawford
DEVS101,Development Studies in Global Perspective,22,Marcus Taylor
DEVS102,Canada in the World,130,Rebecca Hall
DEVS220,Introduction to Indigenous Studies,99,Ian Fanning
DEVS221,Indigenous Studies II - Resistance and Resurgence,119,Ian Fanning
DEVS230,The Global Political Economy of Development,54,Susanne Soederberg
DEVS240,Decolonizing Development,28,Ayca Tomac
DEVS250,Environmental Transformations,123,Marcus Taylor
DEVS260,"Globalization, Gender, and Development",35,Reena Kukreja
DEVS353,Business and Global Development,33,Susanne M Soederberg
DEVS354,Cities and Urbanization in the South,60,David A McDonald
DEVS361,Policy Advocacy in Global Development,100,Scott Rutherford
DEVS363,Contemporary Southern Africa: Development Trends and Challenges,129,Marc Epprecht
DEVS365,Trade and Investment in the Global South,57,Kyla Tienhaara
DEVS393,Topics in Development Studies II,70,David A McDonald
DEVS492,Topics in Development Studies I,62,Bernadette Resurreccion
HLTH101,Social Determinants of Health,101,Stevenson Fergus
HLTH200,Physical Fitness and Exercise Programming,54,Jenson Price
HLTH205,Introduction to Health Promotion,44,Joseph Kangmennaang
HLTH230,Basic Human Nutrition,139,Jeffery Lalonde
HLTH235,Food Systems,91,Elaine Power
HLTH252,Introduction to Research Methods,139,Eun-Young Lee
HLTH270,Movement Behaviours and Health,115,Ian Janssen
HLTH315,Theory and Practice of Health Behaviour Change,85,Amy Latimer-Cheung
HLTH323,Epidemiology,75,Ian Janssen
HLTH350,Topics in Global Health,121,Elijah Bisung
HLTH416,Program Planning and Evaluation,121,Lucie Levesque
HIST104,Pre-Confederation Canada: A History of the Present,134,Steven J Maynard
HIST105,Post-Confederation Canada: A History of the Present,90,Steven J Maynard
HIST106,The Making of Modern Europe,91,Andrew Jainchill
HIST108,"Early Globalization: Contact, Conflict, and Pandemics",116,Aditi Sen-Chowdhury
HIST109,War and Revolution in the Modern World,94,Awet Weldemichael
HIST110,Europe from Antiquity to the Scientific Revolution,90,Jeffery Collins
HIST124,Canada: A History of the Present,131,Steven J Maynard
HIST210,The History of Sexuality in Canada,115,Steven J Maynard
HIST211,The Cold War,72,Leonid Trofimov
HIST215,"Sport, Virtue, and Violent Spectacle from Antiquity to the Renaissance",101,Anthony Francis D'Elia
HIST216,U.S. Civil War and Reconstruction,140,Rosanne Currarino
HIST219,"""Canada"": The History of an Idea",65,Caroline-Isabelle Caron
HIST220,Jews on Film,127,Gordon Dueck
HIST225,The Early Middle Ages,109,Megan Welton
HIST228,Global History of Pandemics,37,Aditi Sen-Chowdhury
HIST246,The Soviet Experiment,130,Rebecca Manley
HIST251,Medieval England,40,Daniel Woolf
HIST304,The Civil War and the Making of America,104,Roseanne Currarino
HIST307,Introduction to Historiography,31,Daniel Woolf
HIST313,"British North America, 1759-1867",83,Jeff McNairn
HIST315,Modern Latin American History: Sources and Debates,66,David Parker
HIST316,European Politics and Society Since 1789,135,Rebecca Manley
HIST318,Modern East Asia,29,Emily Hill
HIST320,Indigenous History of North America,53,Scott Berthelette
HIST353,Revolutions and Civil Wars in Twentieth-Century Latin America,137,David Parker
HIST401,Topics in Canadian History,137,Jeff McNairn
HIST438,The Historical Imagination,125,Nancy Van Deusen
HIST461,Race and Ethnicity in Latin America,122,David Parker
INDG301,Indigenous Ways of Knowing,24,Carleigh Milburn
IDIS173,The History and Philosophy of Health and Healthcare,24,Cheryl Cline
IDIS280,Interprofessional Approaches in Healthcare,81,Rosemary Brander
IDIS373,"Health Ethics, Law, and Policy",148,Jeremy Butler
ITLN111,Beginning Italian I,150,Elena Cecchetto
JAPN100,Introductory Japanese I,127,Keiko Aoki
JAPN200,Introductory Japanese II,51,Keiko Aoki
KNPE125,Introduction to Human Physiology,123,Brendon Gurd
KNPE153,Introductory Biomechanics,98,Megan McAllister
KNPE167,Socio-Cultural Dimensions of Sport and Physical Activity,98,Courtney Szto
KNPE225,Advanced Human Physiology,50,Michael Tschakovsky
KNPE227,Exercise Physiology,75,Brendon Gurd
KNPE254,Biomechanical Analysis of Human Movement,150,Jessica Selinger
KNPE255,"Physical Activity, Fitness, and Health",117,Robert Ross
KNPE335,Healthy Aging,124,Madison Robertson
KNPE339,Advanced Exercise Metabolism,108,Brendon Gurd
LLCU111,Introduction to Culture,101,Antonio Macedo
LLCU200,Semiotics: Interpreting the World,120,Donato Santeramo
LLCU201,Introduction to Romance Philology,110,Cristiana Zaccagnino
LLCU213,The Social History of Organized Crime in Canada,102,Antonio Nicaso
LLCU214,"Mafia Culture and the Power of Symbols, Rituals, and Myth",35,Antonio Nicaso
LLCU248,Introduction to Latin American Cultures,122,Claudio Palomares-Salas
LLCU249,"Latin Lovers: Love, Sex, and Popular Culture",115,Claudio Palomares-Salas
LLCU295,Special Topics,128,Hannah McElgunn
LLCU303,Applied Intercultural Communication,131,Margaret Maliszewska
LATN110,Introductory Latin,74,Beatrice Poletti
LATN209,Intermediate Latin,80,Bernard Kavanagh
LATN421,Advanced Latin Prose,146,Anthony Francis D'Elia
LIBS100,Origins and Practices of Liberal Arts,44,Rebecca Smith
LING100,Introduction to Linguistics,78,Charlotte Reinholtz
LING310,Phonetics,26,Lorena Jessop
LING330,Morphology,91,Bronwyn Bjorkman
LING350,Introduction to Historical Linguistics,100,Bronwyn Bjorkman
MATH110,Linear Algebra,44,Gregory G Smith
MATH112,Introduction to Linear Algebra,126,Kaveh Mousavand
MATH120,Differential and Integral Calculus,136,Michael A Roth
MATH121,Differential and Integral Calculus,91,Nageena Frost
MATH126,Differential and Integral Calculus,99,Abhishek Bharadwaj
MATH130,Mathematics for Biochemistry and Life Sciences,70,Troy Day
MATH210,Rings and Fields,65,Gregory G Smith
MATH212,Linear Algebra ll,121,Zachary Selk
MATH221,Vector Calculus,115,Boris Levit
MATH225,Ordinary Differential Equations,140,Abhishek Bharadwaj
MATH228,Complex Analysis,85,Oleg I Bogoyavlenskij
MATH231,Differential Equations,39,Andrew Lewis
MATH280,Advanced Calculus,36,Thomas Barthelme
MATH281,Introduction to Real Analysis,93,Troy Day
MATH310,Group Theory,121,Michael A Roth
MATH314,Representations of the Symmetric Group,50,Brad Rodgers
MATH326,Functions of a Complex Variable,51,Ivan Dimitrov
MATH331,Advanced Differential Equations,93,Felicia  Magpantay
MATH384,Mathematical Theory of Interest,46,Ping Li
MATH401,Graph Theory,146,Brad Rodgers
MATH402,Enumerative Combinatorics,49,Catherine Pfaff
MATH413,Introduction to Algebraic Geometry,105,Gregory G Smith
MATH429,Functional Analysis and Quantum Mechanics,144,Francesco Cellarosi
MATH472,Optimization and Control of Stochastic Systems,53,Serdar Yuksel
MATH474,Information Theory,55,Fady Alajaji
MICR121,Microbiology for Nursing Students,25,Prameet Sheth
MICR221,Fundamental Microbiology,87,Bruce Banfield
MICR271,Introduction to Microbiology,98,Christopher Lohans
MICR360,Immunology,62,Sameh Basta
MUSC104,Music Fundamentals,131,Cynthia Tormann
MUSC112,Medium Ensemble,147,Sarah Moon
MUSC121,Applied Study I,32,Sarah Moon
MUSC127,Ear Training and Sight Singing I,75,Cynthia Tormann
MUSC129,Keyboard Skills,79,Younggun Kim
MUSC156,"Introduction to Digital Audio Recording, Editing, and Mixing",147,Michael Lukaszuk
MUSC171,Social History of Popular Music,34,Robbie MacKay
MUSC191,Theory and Analysis I,49,Cecilia Livingston
MUSC200,Small Ensemble,86,Sarah Moon
MUSC221,Applied Study II,64,Sarah Moon
MUSC300,Small Ensemble,100,Kornel  Wolak
MUSC303,Critical Issues in Music,87,Colleen Renihan
MUSC318,Applied Music 3A,25,Ms. Dianne Baird
MUSC321,Applied Study III,148,Jeffrey Leung
MUSC370,Topics in Advanced Conducting,33,Dan Tremblay
MUSC392,Theory and Analysis III,29,Stephanie Lind
MUTH111,"Listening to Revolutions: History, Arts, and Performance ll",123,John Burge
NSCI323,Foundational Neuroscience,46,Eric Dumont
PATH120,Understanding Human Disease in the 21st Century,92,Cynthia Pruss
PHAR100,Introductory Pharmacology,61,Jeanne Mulder
PHAR480,Drug Discovery and Development,147,Terence Ozolins
PHIL111,What is Philosophy?,32,Jon Miller
PHIL115,Fundamental Questions,138,Omar Bachour
PHIL151,Great Works of Philosophy,51,Mark Smith
PHIL153,The State and the Citizen,138,Owen Clifton
PHIL157,Moral Issues,127,Rahul Kumar
PHIL203,Science and Society,32,Sergio Sismondo
PHIL247,Practical Ethics,66,Meena Krishnamurthy
PHIL250,Epistemology and Metaphysics,95,David Bakhurst
PHIL257,Ethics,119,Jon Miller
PHIL259,Critical Thinking,48,Nancy Salay
PHIL261,Philosophy of Mathematics,34,Joshua Mozersky
PHIL266,Introduction to Probability and Inductive Logic,41,Joshua Mozersky
PHIL273,"Continental Philosophy, 1800-1900",90,Paul Fairfield
PHIL275,"Thinking Gender, Sex, and Love",100,Jacqueline M Davies
PHIL276,Critical Perspective on Social Diversity,76,Lisa Guenther
PHIL301,Bioethics,38,Kerah Gordon-Solmon
PHIL316,Philosophy of Art,135,Deborah Knight
PHIL324,Africana Philosophy II,132,Jon Miller
PHIL343,Social and Political Philosophy,34,Kerah Gordon-Solmon
PHIL352,Metaphysics,23,Mark Smith
PHIL362,Further Studies in Logic,109,Adele Mercier
PHIL382,"Space-Time, Matter, and Reality",136,Joshua Mozersky
PHIL390,Philosophical Practice,20,Kerah Gordon-Solmon
PHIL405,Social and Political Philosophy II,104,Meena Krishnamurthy
PHYS104,Fundamental Physics,116,Ryan Martin
PHYS106,General Physics,146,Ryan Martin
PHYS115,Introduction to Physics I,82,Anne Topper
PHYS118,Basic Physics,32,Anne Topper
PHYS206,Dynamics,60,Sarah Sadavoy
PHYS212,Vibrations and Waves,73,Philippe Stefano
PHYS242,Relativity and Quanta,77,Marc Dignam
PHYS315,Physical Processes in Astrophysics,68,Judith A Irwin
PHYS316,Methods in Mathematical Physics I,64,Lawrence M Widrow
PHYS344,Introduction to Quantum Mechanics,128,Joseph Bramante
PHYS345,"Quantum Physics of Atoms, Nuclei, and Particles",45,Aaron Vincent
PHYS350,General Laboratory,56,Robert G Knobel
PHYS480,Solid State Physics,79,Nir Rotenberg
PHGY170,Human Cell Physiology,122,Cynthia Pruss
PHGY215,Principles of Mammalian Physiology l,140,Nicolle Domnik
PHGY216,Principles of Mammalian Physiology ll,110,Christopher Andrew Ward
PHGY290,Investigation of Human Physiological Responses,112,Michael A Adams
POLS112,Enduring Political Debates,41,Andrew Grant
POLS211,Canadian Government,79,Elizabeth Baisley
POLS212,Canadian Politics,135,Rachel Laforest
POLS230,American Elections,129,Emmanuel Ampomah
POLS243,"States, Ethnic Diversity, and Conflict",69,Stephen Larin
POLS250,Political Theory: Foundations,66,Colin Farrelly
POLS261,International Politics,46,Wayne S Cox
POLS262,International Political Economy,85,Wayne S Cox
POLS280,"Introduction to Women, Gender, and Politics",106,Yolande Book
POLS284,Introduction to Political Research,100,Quinn Albaugh
POLS285,Introduction to Statistics,26,Kyle Hanniman
POLS312,Political Behaviour,147,Fan Lu
POLS348,Middle East Politics,72,Rida Abu Rass
POLS350,Political Theory: History,28,Åsbjørn Melkevik
POLS358,Critical Perspectives on Contemporary Capitalism,68,Eleanor MacDonald
POLS366,The United Nations,147,Samantha Twietmeyer
POLS367,American Foreign Policy,81,David Haglund
POLS384,Strategies of Political Research,23,Quinn Albaugh
POLS388,Politics of Migration,59,Stephen Larin
POLS392,Topics in Canadian Politics,145,Dax D'Orazio
POLS397,Topics in Gender and Politics,93,Mary-Rita Holland
POLS458,Ethics of War and Intervention,126,Stephen Larin
POLS459,"Anarchist Politics, or the Art of Not Being Governed",72,Danielle Delaney
POLS466,Politics of War in Africa,22,Andrew Grant
POLS470,Seminar in International Politics,92,David Haglund
POLS471,Politics and Science in Technological Societies,145,Stephen Larin
POLS478,Politics of Artificial Intelligence,68,Stephen Larin
POLS484,The Politics of Globalization,46,Andrew Grant
POLS494,Topics in Political Studies,21,Surulola Eke
PSYC100,Principles of Psychology,144,Anna Taylor
PSYC202,Statistics in Psychology,148,Sarah Yakimowski
PSYC203,Research Methods in Psychology,146,Daryl Wilson
PSYC221,Cognitive Psychology,30,Daryl Wilson
PSYC236,Introduction to Clinical Psychology,69,Meredith Chivers
PSYC241,Social Psychology,24,Jillian O'Connor
PSYC251,Developmental Psychology,24,Laura Lambe
PSYC271,Brain and Behaviour I,43,Scott Squires
PSYC305,Introduction to Comparative Cognition,125,Valerie Ann Kuhlmeier
PSYC320,Selected Topics in Cognitive Neuroscience,81,Jeffrey Wammes
PSYC333,Human Sexuality,114,Caroline F Pukall
PSYC334,Laboratory in Psychological Testing,116,Jillian O'Connor
PSYC337,Advanced Child Clinical Psychology,78,Luis Flores
PSYC340,Selected Topics in Social Psychology,23,Jillian O'Connor
PSYC341,Laboratory in Social Psychology,141,Li-Jun Ji
PSYC343,Judgement and Decision Making,55,DAvid Hauser
PSYC351,Social and Emotional Development,120,Tom Hollenstein
PSYC358,Developmental Social Neuroscience,41,Michele Morningstar
PSYC423,"Driving, Deepfakes, and Disinformation: Applications of Visual Cognition",113,Monica Castelhano
PSYC429,Pain: Body and Mind,55,Timothy Salomons
PSYC436,Sexuality and Gender,66,Meredith Chivers
PSYC442,Culture and Cognition,62,Li-Jun Ji
PSYC450,Advanced Topics in Developmental Psychology,131,Elizabeth Kelley
RELS131,World Religions/Religious Worlds,35,Colin Simonds
RELS132,Western Religions,141,Amarnath Amarasingam
RELS140,Religion and Science,52,Sharday Mosurinjohn
RELS162,"Religion, News, and Media",124,Amarnath Amarasingam
