course_code,course_name,units,year,description,requirements,faculty,outcomes,corequisites,exclusions,recommended,department_name,department_code,instructor,keywords,prereq_codes
ARTH 305,Topics in Modern and Contemporary Art History,3.0,3.0,"An examination of one aspect of modern and/or contemporary art history. Possible areas of investigation include the study of an issue important to the art of the modern and/or contemporary period, as well as the study of the methods and historiographic positionings of art historians working today.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite Level 3 or above. Recommended ARTH 226/3.0 and ARTH 228/3.0.,Faculty of Arts and Science,,,[],ARTH 226/3.0 and ARTH 228/3.0.,Art History,ARTH,,"[""modern art"", ""contemporary art"", ""art history"", ""historiographic"", ""repeatable""]",
ARTH 306,Modern Architecture in Germany: A Social History,3.0,3.0,"This course examines German architecture, 1815 to 1945, as an important part of social practice. Buildings and monuments from German Confederation to the Third Reich will be understood according to the values they expressed and perpetuated, through their aesthetics, their materials, and their spaces.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,Katherine Romba,"[""German architecture"", ""social practice"", ""Third Reich"", ""monuments"", ""aesthetics""]",
ARTH 307,Romanesque: Art and Historicism in Europe c.800-1150,3.0,3.0,"This course considers the retrospective tendencies in art of the so-called 'Romanesque period' leading up to the 'Gothic'. Considering monuments across all media, we discuss concepts of artistic development in cathedral, monastic and secular settings. We will also consider modes of 'reading' and interpretation of medieval art in terms of contemporary modes of perception.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Romanesque"", ""Gothic"", ""medieval art"", ""cathedral"", ""monastic""]",
ARTH 308,Gothic Art in Europe c.1150-1400,3.0,3.0,"This course examines the changes in European art later known as 'Gothic'. With a focus on England, France, Spain, Italy and Germany, this class will consider major monuments across the media, from manuscript painting, to architecture, stained glass, sculpture and ars sacra. Throughout, monuments will be placed in their appropriate social, historical and patronal contexts.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,Matthew Reeve,"[""Gothic"", ""European art"", ""architecture"", ""stained glass"", ""sculpture""]",
ARTH 310,Art and Feminisms,3.0,3.0,"An investigation of the connections between art, art history and intersectional feminisms. Students will be introduced to a number of the key issues and critical frameworks that have informed diverse feminist approaches to art, art history and art criticism.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""feminism"", ""art history"", ""art criticism"", ""intersectional"", ""critical frameworks""]",
ARTH 311,Gender and Modernism,3.0,3.0,"A study of gender in relation to modern visual culture from the mid-nineteenth to the mid-twentieth centuries using theoretical frameworks drawn from feminist art history and gender studies. Topics to be studied include fashion and modernity, consumer culture, gendered and transgendered artistic identities, and the gendering of Modernism.",Prerequisite Level 3 or above. Recommended ARTH 226/3.0 and ARTH 228/3.0.,Faculty of Arts and Science,,,[],ARTH 226/3.0 and ARTH 228/3.0.,Art History,ARTH,,"[""gender"", ""visual culture"", ""feminist art"", ""modernism"", ""consumer culture""]",
ARTH 312,Quattrocento Painting,3.0,3.0,An examination of selected topics in 15th-century Italian Renaissance painting.,Prerequisite Level 3 or above. Recommended ARTH 214/3.0 and ARTH 215/3.0.,Faculty of Arts and Science,,,[],ARTH 214/3.0 and ARTH 215/3.0.,Art History,ARTH,,"[""Italian Renaissance"", ""15th-century"", ""painting"", ""art history"", ""selected topics""]",
ARTH 319,Art in the Age of the Internet,3.0,3.0,"This course examines the impact of networked and digital technologies on the production, display and reception of global contemporary art. From artists' experiments with computers in the late 1960s to the post-internet and algorithmic art of the 21st century, students will be introduced to key practices, technologies, theories and debates.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""digital art"", ""networked technologies"", ""contemporary art"", ""post-internet"", ""algorithmic art""]",
ARTH 321,"European Art, 1789-1859: Revolution to Evolution",3.0,3.0,"A study of European art and sculpture of the early nineteenth century in its political, social and scientific contexts. Topics may include revolutionary painting and caricature, national romanticism, orientalism and empire, realism and popular culture, universal exhibitions, and the interplay of art and modern science.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""European art"", ""19th-century"", ""sculpture"", ""political context"", ""romanticism""]",
ARTH 324,"French Art and Its Reception, 1855-1912",3.0,3.0,"A study of late nineteenth- and early twentieth-century French art in its changing institutional, social and art historical contexts. Topics may include the institutions of exhibiting and artistic training, the art market, modernity, the new Paris, impressionism and sensation, the decorative, the cult of the self, primitivism and colonialism. ",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""French art"", ""nineteenth-century"", ""twentieth-century"", ""impressionism"", ""colonialism""]",
ARTH 339,Canadian Art in the Twentieth Century,3.0,3.0,Selected problems in the development of Canadian painting and sculpture in the modern period.,Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Canadian painting"", ""sculpture"", ""modern period""]",
ARTH 340,Aspects of Contemporary Art in Canada,3.0,3.0,An examination of a range of historical conditions that have encouraged and challenged the growth of a visual and media arts practice in Canada since the mid-1950s.,Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""visual arts"", ""media arts"", ""Canada"", ""mid-1950s""]",
ARTH 341,Photography and Society,3.0,3.0,"An introduction to the processes, practices and histories of photography; the changing topics address its interpretation and application since the 1840s.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""photography"", ""processes"", ""practices"", ""histories"", ""1840s""]",
ARTH 342,Photography in Canada 1839-1939,3.0,3.0,"Through lectures, readings, and research, this course explores the nature, practice, and impact of photography in Canada between 1839 and 1939. By examining how the new medium was used to confirm, complement, and contest older forms of aesthetic expression, written documentation, or visual evidence, it traces the role of photography in Canadian society during this critical period of Canadian nation building.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""photography"", ""Canada"", ""1839-1939"", ""aesthetic expression"", ""nation building""]",
ARTH 346,"Sculpture, Gender, and the Body in the Italian Renaissance",3.0,3.0,"This course will examine the sculptures that filled Italian cities from the fourteenth to the sixteenth centuries, some heroic, others pathetic or erotic. We will explore how sculptors worked with a variety of materials to bring to life effigies of diverse bodies, in relation to Renaissance debates about gender, sex, religion, class, and politics.",Prerequisite (Level 3 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""sculptures"", ""Italian cities"", ""Renaissance"", ""gender"", ""politics""]",
ARTH 348,Arts of the Artic,3.0,3.0,"A study of the arts and visual culture of the Indigenous peoples of the northern circumpolar region encompassing Alaska, Canada, and Greenland, with a main focus on Dorset, Thule, and post-1950 Inuit arts. Students will examine the development of modern Inuit art markets, including reception, promotion, and circulation in the south.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Indigenous arts"", ""circumpolar region"", ""Inuit arts"", ""art markets"", ""reception""]",
ARTH 350,Propaganda and Visual Culture: From the Altar to the Xbox,3.0,3.0,"This course will examine the ways in which visual culture can function as social, political, or religious propaganda. With reference to examples produced from c.1600 to the present, it will deal with a variety of media and the ways in which developments in technology contribute to the spread of propaganda.
NOTE Only offered online, consult Arts and Science Online.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""visual culture"", ""propaganda"", ""political"", ""religious"", ""technology""]",
ARTH 352,Printmaking in Early Modern Europe,3.0,3.0,"A chronological survey of the history of printmaking in Western Europe from its beginnings in the 15th century to the Industrial Revolution. Topics include the cultural impact of the reproducible image, the development of woodcut, engraving, etching and lithography, and the achievements of printmakers such as Dürer, Goltzius, Callot, Rembrandt, Hogarth, and Goya.",Prerequisite Level 3 or above. Recommended ARTH 253/3.0.,Faculty of Arts and Science,,,[],ARTH 253/3.0.,Art History,ARTH,Stephanie Dickey,"[""printmaking"", ""Western Europe"", ""15th century"", ""Industrial Revolution"", ""D\u00fcrer""]",
ARTH 354,Age of Rembrandt,3.0,3.0,"A detailed study of painting and related arts in the Netherlands, ca.1580-1700. Developments in style and the growth of subject types such as genre, portraiture, landscape, and still life are examined in the cultural context of life in the Dutch Republic, with particular attention to the achievements of artists such as Rembrandt, Hals, and Vermeer.
NOTE Also offered online, consult Arts and Science Online (Learning Hours may vary).",Prerequisite Level 3 or above. Recommended ARTH 253/3.0.,Faculty of Arts and Science,,,[],ARTH 253/3.0.,Art History,ARTH,,"[""painting"", ""Netherlands"", ""Dutch Republic"", ""Rembrandt"", ""Vermeer""]",
ARTH 370,Architecture of the Baroque Period,3.0,3.0,"Baroque and Rococo architecture and urbanism of Europe and beyond including Italy, France, Iberia, Central and Eastern Europe, Scandinavia, New Spain (Mexico), Peru, Brazil, India, Macau, Philippines. Includes Italian bel composto, impact of theater, salon culture in Paris, indigenous contributions outside Europe, ephemera, gardens.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Baroque"", ""Rococo"", ""architecture"", ""urbanism"", ""Europe""]",
ARTH 372,Art of Colonial Latin America,3.0,3.0,"Considers art, architecture, and ephemera in Colonial Latin America (1492-1820) with particular attention to the aboriginal contribution to visual culture and built environment and the impact of multiculturalism (Africans, Asians, mestizos, Europeans of various nationalities).",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Colonial Latin America"", ""art"", ""architecture"", ""ephemera"", ""multiculturalism""]",
ARTH 373,15th-Century Netherlandish Painting,3.0,3.0,"This course surveys painting in the geographic area of the Low Countries, now roughly the kingdoms of Belgium and the Netherlands, between 1400 and 1500.",Prerequisite Level 3 or above. Exclusion ARTH 375/3.0*.,Faculty of Arts and Science,,,"[""ARTH 375""]",,Art History,ARTH,,"[""Low Countries"", ""painting"", ""Belgium"", ""Netherlands"", ""1400-1500""]",
ARTH 374,16th-Century Netherlandish Painting,3.0,3.0,"This course surveys painting in the geographic area of the Low Countries, now roughly the kingdoms of Belgium and the Netherlands, between 1500 and 1600.",Prerequisite Level 3 or above. Exclusion ARTH 375/3.0*.,Faculty of Arts and Science,,,"[""ARTH 375""]",,Art History,ARTH,Ron Spronk,"[""Low Countries"", ""painting"", ""Belgium"", ""Netherlands"", ""1500-1600""]",
ARTH 377,Modern Design and Materiality,3.0,3.0,"This course focuses on craft and design in the late nineteenth and early twentieth centuries with a focus on materials and materiality, the emergence of material innovations including chrome, plastic and synthetic textiles, modernist aesthetics, and the new meanings society attached to these.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""craft"", ""design"", ""materiality"", ""modernist aesthetics"", ""19th-20th century""]",
ARTH 378,Global Textiles,3.0,3.0,"This course traces the global flows of textiles including South Asia, the Americas, Europe, and Africa. Topics include the role of textiles in cross-cultural exchange, the industrial revolution, colonialism, and slavery, and textiles as markers of cultural identity and creative expression.",Prerequisite (Level 3 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""textiles"", ""global flows"", ""cross-cultural exchange"", ""industrial revolution"", ""colonialism""]",
ARTH 380,Venice and its Biennale: Global Circuits of Contemporary Art,6.0,3.0,"A four-week travel study course that gives students the opportunity to experience the Venice Biennale first hand. Through on-site and experiential learning at the Biennale and other arts institutions in Venice, students will study the production, display and circulation of global contemporary art.
NOTE Accommodation/Travel: estimated cost $4,000. Costs of travel and accommodation abroad must be paid by the student. Consult the Department of Art History for more information.",Prerequisite A minimum of 6.0 units in ARTH.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Venice Biennale"", ""travel study"", ""contemporary art"", ""experiential learning"", ""global art""]",
ARTH 383,The City,3.0,3.0,"This course examines the city (past, present, and future) and its ability to be ecologically sustaining. We will focus on the design of cities (their buildings, streets, public spaces, communities) as well as on the confluences of nature, culture, technology, and economics in those spaces.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,Katherine Romba,"[""city design"", ""ecological sustainability"", ""public spaces"", ""nature"", ""technology""]",
ARTH 390,Writing Art History Today,3.0,3.0,An examination of the history of the discipline and the epistemological assumptions underpinning art historical research and writing in the past and present.,Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""art history"", ""discipline history"", ""epistemology"", ""research"", ""writing""]",
ARTH 391,Art Forgeries,3.0,3.0,"This course examines forgeries of art and their impact on society through an interdisciplinary approach taking into consideration history, economics, law, and science.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,Dawn Cunningham,"[""forgeries"", ""art"", ""interdisciplinary"", ""economics"", ""law""]",
ARTH 395,Internship,3.0,3.0,"Students in Art History and Fine Art can apply to take a practical internship in a museum or gallery, where they would undertake research or curatorial activities. All internships must be approved in advance by written application to the Undergraduate Chair. Approval will depend on the quality of the proposal and the academic record of the applicant. Students are required to write a report about their experience and are evaluated jointly by the employer and a faculty member from the Department of Art. It is the responsibility of students to arrange internships.
NOTE Depending on location, substantial travel and subsistence costs may be involved.","Prerequisite Level 3 or above and registration in an ARTH Major, Joint Honours Plan, or ARTV Major and permission of the Department. Exclusion FILM 395/3.0.",Faculty of Arts and Science,,,"[""FILM 395/3.0""]",,Art History,ARTH,,"[""internship"", ""museum"", ""gallery"", ""research"", ""curatorial""]",
ARTH 401,Studies in Iconography,3.0,4.0,"The study of a selected theme within the subject matter of Western art, concentrating on its changing modes of representation in response to historical and artistic circumstances.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Western art"", ""representation"", ""historical"", ""artistic"", ""theme""]",
ARTH 402,Studies in Renaissance Painting Technique,3.0,4.0,An in-depth study of Renaissance painting techniques in Italy and/or Northern Europe. Selected issues of technique and conservation will be examined within a broader art-historical framework.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Renaissance"", ""painting"", ""Italy"", ""Northern Europe"", ""conservation""]",
ARTH 403,Hacking the Museum,3.0,4.0,"This project-based seminar explores the interface of digital technologies, museums, and cultural heritage interpretation. Students build practical knowledge and theoretical understandings around technology, audience interpretation and knowledge creation.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""digital technologies"", ""museums"", ""cultural heritage"", ""interpretation"", ""knowledge creation""]",
ARTH 404,Studies in Conservation,3.0,4.0,"A detailed study of selected topics in the conservation of art, architecture and material culture. Topics may include: the history and theory of conservation, the development of conservation as a profession, the ethics of conservation, conservation practice in the context of the museum, conservation and art history.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""conservation"", ""art"", ""architecture"", ""material culture"", ""ethics""]",
ARTH 405,Cultural Heritage Preservation,3.0,4.0,"An investigation of how cultural heritage has been preserved in different parts of the world in the past and the present, focusing on methods used to ameliorate or prevent damage and destruction caused by the environment, war, looting and restoration. Case studies will be drawn from the UNESCO World Heritage list.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""cultural heritage"", ""preservation"", ""UNESCO"", ""environment"", ""war""]",
ARTH 410,Studies in the History of Textiles and Dress,3.0,4.0,Studies in the textiles and dress of selected periods with a focus upon visual culture and/or material culture.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""textiles"", ""dress"", ""visual culture"", ""material culture"", ""periods""]",
ARTH 412,"Topics in Design History, Craft, and Material Culture",3.0,4.0,"A detailed study of one area or topic in design history, craft, and material culture.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""design history"", ""craft"", ""material culture"", ""repeatable"", ""topic""]",
ARTH 415,Topics in Medieval Art History,3.0,4.0,A detailed study of one area or topic in the history of medieval European art.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""medieval"", ""European art"", ""history"", ""detailed study"", ""topic""]",
ARTH 420,Art and Activism,3.0,4.0,"An examination of both modern and postmodern contemporary art as activism sampled from Western and non-Western practices. The chronological period of study is from the end of the 1960s to the present. Theoretical frameworks to be used include social movement theory, postcolonial theory, and critical museum studies.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""modern art"", ""postmodern"", ""activism"", ""social movement theory"", ""postcolonial theory""]",
ARTH 421,Topics in Modern Art,3.0,4.0,A detailed study of one area or topic in the history of early 20th-century art.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""early 20th-century art"", ""history"", ""detailed study"", ""art history"", ""ARTH""]",
ARTH 422,Topics in Contemporary Art,3.0,4.0,A detailed study of one area or topic in contemporary art,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""contemporary art"", ""detailed study"", ""art history"", ""ARTH"", ""modern art""]",
ARTH 425,House: Studies in the History of an Idea,3.0,4.0,"This course considers the house as a central typology in the history of architecture and will explore it in its fullest theoretical and literary contexts. We consider the house as an idea and a material whole, including the art that it housed, the functions and performances that it staged, and the patrons, architects and designers that created it.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""architecture"", ""house"", ""history"", ""art history"", ""ARTH""]",
ARTH 429,Topics in 19th-Century Art,3.0,4.0,A detailed study of one area or topic in the history of 19th century art.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""19th century art"", ""history"", ""detailed study"", ""art history"", ""ARTH""]",
ARTH 433,"Art, Tourism, and Modernity",3.0,4.0,"An examination of the relationship of art and tourism. Topics include the role of tourism in the creation of tourist, Folk and Primitive art, souvenir and craft; the relationship of museums and cultural tourism to the rise of global capitalism; the ways in which art in a tourism economy participates in the politics of identity and representation.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""art and tourism"", ""global capitalism"", ""identity"", ""representation"", ""ARTH""]",
ARTH 434,Non-Western Art in Western Collections,3.0,4.0,A consideration of the history of collecting and public collections; of museum policy and practice; and of Western notions of art and culture as they are applied in the museum to non-Western art.,Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,Lynda L Jessup,"[""collecting"", ""museum policy"", ""non-Western art"", ""art history"", ""ARTH""]",
ARTH 435,Art History Theory and Methods,3.0,4.0,"This course examines a range of theoretical approaches used currently in art historical scholarship, including Marxism, gender theory, psychoanalysis, structuralism, poststructuralism, and postcolonialism.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""theory"", ""Marxism"", ""gender theory"", ""psychoanalysis"", ""postcolonialism""]",
ARTH 436,Anthropological Theory and Art History,3.0,4.0,"This course will examine a range of theories from anthropology, which offers a number of concepts for exploring the social in the visual, material, and spatial world. We will assess the potential roles of the theory for art historical analysis.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""anthropology"", ""social theory"", ""visual culture"", ""material culture"", ""ARTH""]",
ARTH 438,Studies in Indigenous Arts and Visual Culture of North America,3.0,4.0,"This seminar offers an in-depth study of a topic in North American Indigenous arts and visual culture, including theoretical and methodological readings.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Indigenous arts"", ""visual culture"", ""North American"", ""theory"", ""methodology""]",
ARTH 442,Critical Writing on Photography: Meaning and Practice,3.0,4.0,"This seminar focuses on historical and contemporary critical writing to explore historical and contemporary perspectives on the nature, theory, and practice of photography. It is a course about ideas rather than images - ideas about photographs, about looking at photographs, and about reading photographs - ideas that have governed the way we look at, respond to, and draw meaning from photographs.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""photography"", ""critical writing"", ""theory"", ""practice"", ""visual culture""]",
ARTH 446,Topics in Northern Renaissance and Baroque Art,3.0,4.0,"A detailed study of one artist or theme in the visual culture of northern Europe, primarily The Netherlands and/or Germany. Topics may focus on the Renaissance and/or Baroque era (ca.1400-1750).
NOTE This course is repeatable for credit under different topic titles.",Prerequisite Level 4 or above and registration in an ARTH Major or Joint Honours Plan and a minimum of 24.0 units in ARTH and a cumulative GPA of 1.90 or higher. Recommended (ARTH 214/3.0 and ARTH 215/3.0) or ARTH 353/3.0*; ARTH 354/3.0; ARTH 373/3.0; ARTH 374/3.0.,Faculty of Arts and Science,,,[],(ARTH 214/3.0 and ARTH 215/3.0) or ARTH 353/3.0*; ARTH 354/3.0; ARTH 373/3.0; ARTH 374/3.0.,Art History,ARTH,,"[""northern Europe"", ""Netherlands"", ""Germany"", ""Renaissance"", ""Baroque""]",
