,Unnamed: 0,course_code,course_name,units,description,requirements,faculty,outcomes,prerequisites,corequisites,exclusions,recommended
10,10,ANAT 391,Introduction to Cadaveric Dissection,3.00,Students work individually and collaboratively to develop macro and microdissection skills using human cadaveric specimens. Students learn how cadaveric dissection for teaching purposes (prosection) influences communication and teaching of anatomy.,"Prerequisite Minimum 3rd year (level 3) standing, registration in a LISC/BCHM/BHSc Major or Specialization Plan, and a minimum standing of B+ in one of ([ANAT 100/3.0 or ANAT 101/3.0; and ANAT 380/3.0]; [ANAT 215/3.0 and ANAT 216/3.0]; [ANAT 315/3.0 and ANAT 316/3.0]).",Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Dissect and display gross and microscopic anatomical features on a human cadaveric specimen using conventional and novel dissection techniques, producing a high-quality museum worthy specimen.
Critically develop and appraise questions and concepts related to gaps in contemporary anatomical pedagogy to create a feasible research question.
Clearly communicate the process of dissection and major findings from completed student work to contextualize dissection as a tool for teaching anatomy and in a research setting.","Minimum 3rd year (level 3) standing, registration in a LISC/BCHM/BHSc Major or Specialization Plan, and a minimum standing of B+ in one of ([ANAT 100/3.0 or ANAT 101/3.0; and ANAT 380/3.0]; [ANAT 215/3.0 and ANAT 216/3.0]; [ANAT 315/3.0 and ANAT 316/3.0]).",,,
11,11,ANAT 409,Selected Topics in Histology,3.00,"A focused histological and cell biological study of three selected mammalian tissues, organs and/or systems.","Prerequisite Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(ANAT 215/3.0 and ANAT 216/3.0); (ANAT 315/3.0 and ANAT 316/3.0); ANAT 309/3.0].",Offering Faculty: Faculty of Health Sciences,,"Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(ANAT 215/3.0 and ANAT 216/3.0); (ANAT 315/3.0 and ANAT 316/3.0); ANAT 309/3.0].",,,
12,12,ANAT 417,Mammalian Embryonic Development,3.00,"Comprehensive overview of cellular and molecular mechanisms that direct embryogenesis including gastrulation, neurulation, establishment of body axes, differentiation, sex determination, limb development, organogenesis, and teratology. Participation in seminar presentations and group discussions is required.",Prerequisite Level 4 and a GPA of 2.5 and (registration in a LISC Major or Specialization Plan) and (ANAT 309 or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,Offering Faculty: Faculty of Health Sciences,,Level 4 and a GPA of 2.5 and (registration in a LISC Major or Specialization Plan) and (ANAT 309 or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,,,
13,13,ANAT 471,Human Embryology,3.00,"In ANAT 471, students work individually/collaboratively to explore stages of normal human embryonic and fetal development and how changes in underlying mechanisms link to common congenital or developmental abnormalities. Various assessments include quizzes, a journal club, a PBL investigating a developmental abnormality, a midterm and final exam.",Prerequisite Level 3 or above and one of ([ANAT 100 and ANAT 380] or [ANAT 101 and ANAT 380] or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Apply knowledge from course content and external peer-reviewed literature to predict the functional sequelae of abnormal physiological development as well as linking the condition to medical interventions.
Critically develop and appraise questions and concepts related to gaps in contemporary embryological knowledge to create a cogent research proposal
Identify and describe the embryological development of tissues, organs and systems as well as how changes in the process can be linked to abnormal physiological development.",Level 3 or above and one of ([ANAT 100 and ANAT 380] or [ANAT 101 and ANAT 380] or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,,,
14,14,ANAT 499,Research Project in Anatomy and Cell Biology,12.00,"An examination of the development and present state of knowledge in selected research areas of Anatomy and Cell Biology. Research project involves experimental design, data collection and analysis, written report, poster presentation and oral presentation. Students will be required to attend seminars and tutorials on topics related to research. Limited enrolment; restricted to fourth year honours, permission of the department required.
NOTE Acceptance by a supervisor required prior to registration.
NOTE Students whose research requires the care and/or handling of animals must also complete the Introductory Animal Care Course and if required the appropriate Animal Use workshops through the Office of the University Veterinarian.",Prerequisite Level 4 and registration in a LISC Specialization Plan and a cumulative GPA of 2.50 or higher and ([ANAT 215/3.0 and ANAT 216/3.0] or ANAT 309/3.0 or [ANAT 315/3.0 and ANAT 316/3.0]). Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,Offering Faculty: Faculty of Health Sciences,,Level 4 and registration in a LISC Specialization Plan and a cumulative GPA of 2.50 or higher and ([ANAT 215/3.0 and ANAT 216/3.0] or ANAT 309/3.0 or [ANAT 315/3.0 and ANAT 316/3.0]).,,Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,
15,15,ANAT 599,Research Inquiry in Anatomy,6.00,"ANAT 599 is a course on collaborative research in the Anatomical Sciences. Students will use a team-based approach to devise a research question that addresses a gap in knowledge in the Anatomical Sciences. Research questions may include basic science queries based in human anatomy, and questions related to teaching and learning in the Anatomical Sciences. In small groups, students will develop and carry out comprehensive research objectives, and draft a complete manuscript of the summative work intended for publication in a peer-reviewed academic journal. Using the skills previously gained in ANAT 391, students will also produce a high-quality prosected human anatomical specimen. The goal of prosection is to dissect a specimen in a stepwise manner aimed at teaching the dissected structures. To develop proficiencies in online anatomical education and communicating complex anatomical concepts, students will be expected to use audio and visual elements to create a presentation highlighting the key features of their respective specimens. Students will participate in self-reflection and peer feedback to think critically about their skills in anatomical research and pedagogy. The advancement of the relevant competences will facilitate professional development. The course has various types of assessments including a practical dissected specimen and accompanying presentation video, thoughtful reflection and peer feedback, and a summative research manuscript. Students will have the opportunity to develop a research question with their teams and complete research objectives in a comprehensive and thoughtful manner, mentored by the course instructors.","Prerequisite Level 4 or above and registration in a LISC Major or Specialization, or BHSc Program, and a minimum grade of A- in ANAT 391/3.0. Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.",Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Create a detailed prosected specimen with clearly evident anatomical features and generate a video teaching peers about the key anatomical structures.
Critically develop a thoughtful research question and investigate discrete objectives, communicating the research results in a written summative manuscript.
Clearly communicate and critique, through iterative processes, what skills are required to become effective prosectors and educators in the Anatomical Sciences, through self-reflection and peer feedback.","Level 4 or above and registration in a LISC Major or Specialization, or BHSc Program, and a minimum grade of A- in ANAT 391/3.0.",,Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,
16,0,ANIM 200,Introduction to Animation,3.00,This course offers a historical overview of animation practices and an introduction to animation theory. The course covers key developments in independent and commercial animation since the birth of the form and offers critical engagement with emerging voices in the field of animation studies.,Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Devise research methods informed by understanding of animation techniques and history.
Develop skills in fundamental techniques of animation.
Engage in animation criticism informed by historical knowledge and exposure to the most recent achievements in the field.
Understand techniques and principles germane to the illusion of movement.
Investigate topics of interest within animation history.",Level 2 or above.,,,
17,1,ANIM 201,Animation Festival Programming,3.00,"This experiential learning course takes students on a field trip to North America's largest animation festival, the Ottawa International Animation Festival, as a case study in September. Following the trip, the students will conceptualize, develop, curate, and execute their own small student-run animation festival.
NOTE Field Trip: estimated cost $400.
NOTE Students will be given a grade of Pass/Fail for work done.","Prerequisite ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan) or ([FILM 110/6.0 or FILM 111/3.0 or FILM 112/3.0] and permission of the Department).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Work with a large team in committees to curate a small film festival from start to finish.
Communicate in a professional manner with invited artists and audiences.
Design and execute a public event, including marketing materials, in collaboration with a group.
Develop community engagement opportunities through targeted outreach initiatives.
Manage technical aspects of collecting and preparing works for public screening.","ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan) or ([FILM 110/6.0 or FILM 111/3.0 or FILM 112/3.0] and permission of the Department).",,,
18,2,ANIM 400,Special Topics in Animation,3.00,"An advanced course in developing expertise through research and/or praxis in specialized areas of animation production and studies.
NOTE This course is repeatable for credit under different topic titles.","Prerequisite ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Understand animation’s complex status within the broader landscape of film and media through engagement with contemporary debates in animation studies and classroom dialogue.
Gain familiarity with the variety of cultures surrounding animated media through professional networking and experiential learning opportunities in the animation industry, festival circuit, and contemporary art venues.
Develop specific technical skills in traditional animation, 2D and 3D digital animation, and interactive technologies, through rigorous practice in filmmaking, multi-modal art-making and other forms of artistic inquiry employing specialised animation techniques and tools.
Engage in critical self-reflection and peer-critique through dialogue and writing, in an environment that encourages the use animation as a platform for discussion among peers.
Interrogate issues pertinent to the social context of animation production, such as labour conditions, economic contexts, transnational exchanges, race and gender representation and authorship through reading and analysis of animation history and studies texts.
Gain awareness of current and developing criticisms of established norms in the field, through reflective engagement with reclaimative and political artworks by next-generation, BIPOC, and LGBTQ+ voices in contemporary independent animation.","ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan).",,,
19,0,ANSH 101,Beginning Anishinaabe Language and Culture I,3.00,An introduction to the language and culture of the Anishinaabe people. This course is designed for those who have neither been exposed to Anishinaabemowin nor its traditional societal practices. Gain a rich understanding of the Anishinaabe people and their language at the beginning level.,Prerequisite None. Exclusion LLCU 101/3.0* (Topic Title: Anishinaabemowin I).,Offering Faculty: Faculty of Arts and Science,,None.,,LLCU 101/3.0* (Topic Title: Anishinaabemowin I).,
20,1,ANSH 102,Beginning Anishinaabe Language and Culture II,3.00,"A continuation of ANSH 101. Students will participate and begin to develop the ability to read, write and speak some basic Anishinaabemowin and further their understanding of the rich culture, traditions and worldviews of the Anishinaabe people.",Prerequisite ANSH 101/3.0. Exclusion LLCU 102/3.0* (Topic Title: Anishinaabemowin I).,Offering Faculty: Faculty of Arts and Science,,ANSH 101/3.0.,,LLCU 102/3.0* (Topic Title: Anishinaabemowin I).,
21,0,ARAB 100,Introductory Arabic (Modern Standard),6.00,"Introduction to the basic structures of Modern Standard Arabic. This course gives intensive training equally in listening, speaking, reading, and writing.",Prerequisite Permission of the Instructor.,Offering Faculty: Faculty of Arts and Science,,Permission of the Instructor.,,,
22,1,ARAB 200,Intermediate Modern Standard Arabic,6.00,"This intensive intermediate-level course is designed to provide a review of the basic elements of Modern Standard Arabic and continues the development of students' communicative skills in reading, writing, listening and speaking Arabic. It will offer an introduction to more complex syntactic and grammatical forms and structures, preparing students for carrying on a simple conversation, reading an intermediate level text, and understanding basic conversations.","Prerequisite ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures. Exclusion ARAB 201/3.0.",Offering Faculty: Faculty of Arts and Science,,"ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures.",,ARAB 201/3.0.,
23,2,ARAB 201,Intermediate Arabic (Modern Standard),3.00,"This course seeks to introduce students to more advanced grammatical structures, to develop reading comprehension, writing, listening, and speaking skills.","Prerequisite ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures. Exclusion ARAB 200/6.0.",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Construct meaningful and grammatically correct sentences appropriate to course level in writing and in speech.
Understand the general idea of a reading text or passage, be able to guess the meaning of new words based on context and use of a dictionary.
Translate learned texts and level-appropriate sentences from Arabic to English and vice versa.
Produce correct pronunciation in speech, be more comfortable in conversational settings and express ideas effectively about daily life's topics.
Be familiar with basic structures of formal and colloquial Arabic, and be able to use each according to its own setting.","ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures.",,ARAB 200/6.0.,
24,0,ARTH 101,Introduction to Visual Studies,3.00,"Course provides an introduction to interdisciplinary theories and concepts in the study of visual culture, to critically interrogate our increasingly visual world.",Prerequisite None.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Build knowledge in the area of visual studies and acquire a basic competency in key texts and concepts in visual studies.
Enhance cross-disciplinary writing skills.
Enhance social responsibility, through a better understanding of the way images and other visual representations have an impact upon social relations in the contemporary world.
Enhance student's capacity to critically analyze the visual world.
Improve self-management and promote respect for diverse ways of knowing.",None.,,,
25,1,ARTH 116,Art and Architecture in Britain from the Classical Period to c.1700,3.00,"A chronological survey of painting, sculpture and architecture in western culture from Greece and Rome through to the early modern period. The art works will be studied at British galleries, museums, and architectural monuments.
NOTE Only offered at Bader College, UK. Students must participate in field trips.",Prerequisite Registration at the Bader College. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,Offering Faculty: Faculty of Arts and Science,,Registration at the Bader College.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,
26,2,ARTH 117,Art and Architecture in Britain from c.1700 to the Present,3.00,"A chronological survey of painting, sculpture and architecture in western culture from c.1700 to the present day. The art works will be studied at British galleries, museums and architectural monuments.
NOTE Also offered at Bader College, UK. Students must participate in field trips.",Prerequisite None. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,Offering Faculty: Faculty of Arts and Science,,None.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,
27,3,ARTH 120,Art in the West from Antiquity to Modernity,6.00,"A survey of famous and lesser-known works of painting, sculpture, architecture, and other art forms from Antiquity, the Middle Ages, the Renaissance, the Baroque, and the Modern Age. Themes include politics, religion, mythology, gender roles, techniques, conservation and intersections with non-western cultures.
NOTE Also offered online, consult Arts and Science Online (Learning Hours may vary).",Prerequisite None. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0. Note Students who are considering a plan in Art History should complete ARTH 121/3.0 and/or ARTH 122/3.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
State basic facts about art from different periods and cultures of the western world and define basic art historical terminology.
Recognize and identify qualities of art associated with different styles and cultures of the western world.
Demonstrate an understanding of artistic development across time from the prehistoric to the current era.
Compare and contrast different works of art from various times and cultures in order to draw meaningful connections.
Implement visual analysis in order to understand and interpret meaning and intention embodied in works of art.
Independently research, analyze, and contextualize works of art not presented in lecture or textbook.",None.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0. Note Students who are considering a plan in Art History should complete ARTH 121/3.0 and/or ARTH 122/3.0.,
28,4,ARTH 121,Introduction to Global Art Histories,3.00,"An introduction to art, architecture, visual and material culture from a global perspective. Organized around themes, it draws parallels and connections between artworks and buildings from across history. Case studies consider art's relationship to religion, colonialism, Indigeneity, and self-representation. Students will develop fundamental skills of analysis, written communication, and research.",Prerequisite None.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Describe and analyze works of art, architecture, and material culture from different historical periods, geographic contexts, and cultural contexts using discipline appropriate terminology.
Demonstrate intercultural competence through visual and material analysis of works of art, architecture, and material culture from diverse contexts. Engage students in the study and analysis of artworks that represent the perspectives of different societies and cultural traditions.
Analyze differing narratives about the history of art and architecture to identify and evaluate the social, political, and cultural values that shape them.
Make connections between works of art, architecture, and material culture and the broader social world by discussing how their production and reception is shaped by historical contexts such as colonialism, social and political issues, and geographic locations.
Develop foundational research skills by learning how to use the tools (e.g., catalogue, database) available through Queen’s University Libraries.
Demonstrate critical reading skills by summarizing the core arguments of art historical texts. Actively and effectively communicate arguments in writing by crafting short texts on art.",None.,,,
29,5,ARTH 122,Curating Art Worlds,3.00,"This course introduces students to key ""art world"" institutions, such as museums, artist-run centres, biennales, and auction houses, by examining their histories, current practices, and future challenges. Using a case study approach, the course provides students with introductory professional skills, concepts and ideas to think and work in a diversity of arts careers while gaining transferable skills.",Prerequisite None.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Describe and analyze key art institutions and their distinctive professional practices, including museums, art galleries, artist-run centres, art fairs, art exhibitions, art markets, and art criticism.
Demonstrate intercultural competence and empathy through an analysis of colonial histories and current colonial legacies of ""art worlds"". Recognize and compare the work of artists, curators, and administrators seeking to decolonize ""art worlds"".
Identify the role of art and artists within the institutional structures of ""art worlds"".
Describe and analyze the histories, current practices, and future challenges of key art institutions, making connections between historical contexts such as colonialism, social and political issues, and geographic locations.
Develop foundational professional skills that contribute towards a career in the cultural sector, or transferable skills for careers outside the arts, including improving critical thinking, observation/documentation, and writing skills.
Demonstrate critical reading skills by summarizing the core arguments of historical, theoretical, or practical texts. Actively and effectively communicate arguments in writing by crafting short texts on art.
Practice competent and sensitive engagements with museums, galleries or artist-run centres, by visiting them in person in their original locations.",None.,,,
30,6,ARTH 202,Topics in Arts and Visual Cultures,3.00,"A lecture course on a selected topic. Please contact the Department of Art History and Art Conservation for more details.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 2 or above) or permission of the Department.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Analyze relationships between art and its larger social and cultural context.
Display critical thinking and support points of view through evidence and argument.
Familiarize oneself with the basic issues of the historiography/existing scholarship.
Identify key concepts and terminology regarding the art at hand.",(Level 2 or above) or permission of the Department.,,,
31,7,ARTH 203,Art and Popular Culture,3.00,"This course explores the relationship between the development of a ""popular culture"" and the visual arts between c. 1700-2000 in Europe and North America.",Prerequisite (Level 2 or above) or permission of the Department.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Describe and analyze various aspects of popular culture in short essay form.
Identify and analyze key works of popular culture from ""high art"" to popular cinema, popular music, and graphic novels.
Learn and employ theoretical models to explore and expand the meanings of popular culture.",(Level 2 or above) or permission of the Department.,,,
