natural_language_query,sql_query
get me 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
what are the fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
show me 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
show me fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I want to see first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
I want to see 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
I want to see second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
I want to see 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
get me second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I need 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I need fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
get me 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
I need first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
find all 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
I need second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
show me third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
what are the 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
find all 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
get me fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
list all 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
which 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
find all 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I want to see 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
which third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
get me first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
show me 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
what are the 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
which second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
list all second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
which 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
show me 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
find all first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I want to see 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
what are the second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
show me first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
I want to see third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
find all fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
what are the 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
I want to see fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
get me third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
get me 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
which 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
find all third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
list all 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
I need 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
I need third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
which first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
list all first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
list all 1st year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
get me 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
list all fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
what are the second year COCA courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'COCA' AND prereq_codes IS NULL"
show me 3rd year LANG courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'LANG' AND prereq_codes IS NULL"
which 2nd year CWRI courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'CWRI' AND prereq_codes IS NULL"
list all 3rd year PHGY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'PHGY' AND prereq_codes IS NULL"
first year BADR courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'BADR' AND prereq_codes IS NULL"
I want to see 2nd year PATH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'PATH' AND prereq_codes IS NULL"
get me 4th year DRAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'DRAM' AND prereq_codes IS NULL"
what are the third year INTS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'INTS' AND prereq_codes IS NULL"
what are the 2nd year DDHT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'DDHT' AND prereq_codes IS NULL"
find all 1st year STAT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'STAT' AND prereq_codes IS NULL"
which 4th year MNTC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'MNTC' AND prereq_codes IS NULL"
what are the 1st year PATH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'PATH' AND prereq_codes IS NULL"
2nd year INUK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'INUK' AND prereq_codes IS NULL"
show me 3rd year SPAN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'SPAN' AND prereq_codes IS NULL"
what are the first year STAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'STAM' AND prereq_codes IS NULL"
I need 1st year ELEC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'ELEC' AND prereq_codes IS NULL"
what are the fourth year BIOL courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'BIOL' AND prereq_codes IS NULL"
what are the 4th year ECON courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'ECON' AND prereq_codes IS NULL"
get me 3rd year CWRI courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'CWRI' AND prereq_codes IS NULL"
list all first year SOCY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'SOCY' AND prereq_codes IS NULL"
show me fourth year ASCX courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'ASCX' AND prereq_codes IS NULL"
I need 2nd year MATH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'MATH' AND prereq_codes IS NULL"
I want to see 3rd year MREN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'MREN' AND prereq_codes IS NULL"
what are the 4th year BLCK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'BLCK' AND prereq_codes IS NULL"
I want to see fourth year RELS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'RELS' AND prereq_codes IS NULL"
which 4th year PORT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'PORT' AND prereq_codes IS NULL"
find all 2nd year EMPR courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'EMPR' AND prereq_codes IS NULL"
I need 2nd year PSYC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'PSYC' AND prereq_codes IS NULL"
which 1st year WRIT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'WRIT' AND prereq_codes IS NULL"
I need fourth year GPHY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'GPHY' AND prereq_codes IS NULL"
what are the 1st year FREN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'FREN' AND prereq_codes IS NULL"
what are the 1st year MNTC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'MNTC' AND prereq_codes IS NULL"
list all 4th year IDIS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'IDIS' AND prereq_codes IS NULL"
I need 2nd year RELS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'RELS' AND prereq_codes IS NULL"
what are the 1st year CISC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'CISC' AND prereq_codes IS NULL"
what are the 3rd year LIBS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'LIBS' AND prereq_codes IS NULL"
which third year HEBR courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'HEBR' AND prereq_codes IS NULL"
1st year SOFT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'SOFT' AND prereq_codes IS NULL"
show me 2nd year MOHK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'MOHK' AND prereq_codes IS NULL"
what are the 4th year ARTF courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'ARTF' AND prereq_codes IS NULL"
list all 1st year RELS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'RELS' AND prereq_codes IS NULL"
what are the third year COGS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'COGS' AND prereq_codes IS NULL"
what are the fourth year GPHY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'GPHY' AND prereq_codes IS NULL"
fourth year CIVL courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'CIVL' AND prereq_codes IS NULL"
list all first year CLST courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'CLST' AND prereq_codes IS NULL"
find all 2nd year SOFT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'SOFT' AND prereq_codes IS NULL"
I need second year MECH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'MECH' AND prereq_codes IS NULL"
I want to see first year QGSP courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'QGSP' AND prereq_codes IS NULL"
I want to see 3rd year ELEC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'ELEC' AND prereq_codes IS NULL"
I need 4th year ELEC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'ELEC' AND prereq_codes IS NULL"
list all 1st year INTS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'INTS' AND prereq_codes IS NULL"
what are the first year CHEM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'CHEM' AND prereq_codes IS NULL"
what are the fourth year INTN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'INTN' AND prereq_codes IS NULL"
third year MATH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'MATH' AND prereq_codes IS NULL"
I want to see first year LIBS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'LIBS' AND prereq_codes IS NULL"
I need third year HEBR courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'HEBR' AND prereq_codes IS NULL"
first year HIST courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'HIST' AND prereq_codes IS NULL"
what are the second year INUK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'INUK' AND prereq_codes IS NULL"
what are the 4th year CMPE courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'CMPE' AND prereq_codes IS NULL"
get me 4th year COMP courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'COMP' AND prereq_codes IS NULL"
get me 4th year DEVS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'DEVS' AND prereq_codes IS NULL"
list all second year INUK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'INUK' AND prereq_codes IS NULL"
I want to see 4th year CMPE courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'CMPE' AND prereq_codes IS NULL"
what are the third year ARIN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'ARIN' AND prereq_codes IS NULL"
which 1st year REPD courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'REPD' AND prereq_codes IS NULL"
list all third year WRIT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'WRIT' AND prereq_codes IS NULL"
find all 3rd year POLS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'POLS' AND prereq_codes IS NULL"
which second year LISC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'LISC' AND prereq_codes IS NULL"
show me third year COMP courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'COMP' AND prereq_codes IS NULL"
I need 2nd year GPHY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'GPHY' AND prereq_codes IS NULL"
1st year LATN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'LATN' AND prereq_codes IS NULL"
list all 4th year DEVS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'DEVS' AND prereq_codes IS NULL"
which 1st year SPAN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'SPAN' AND prereq_codes IS NULL"
what are the first year GRMN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'GRMN' AND prereq_codes IS NULL"
which fourth year BLCK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'BLCK' AND prereq_codes IS NULL"
show me 4th year INDG courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'INDG' AND prereq_codes IS NULL"
I want to see 3rd year MECH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'MECH' AND prereq_codes IS NULL"
get me 1st year MREN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'MREN' AND prereq_codes IS NULL"
show me 1st year LANG courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'LANG' AND prereq_codes IS NULL"
what are the fourth year FREN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'FREN' AND prereq_codes IS NULL"
I want to see 4th year DRAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'DRAM' AND prereq_codes IS NULL"
get me 4th year INTN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'INTN' AND prereq_codes IS NULL"
list all fourth year MECH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'MECH' AND prereq_codes IS NULL"
what are the second year PORT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'PORT' AND prereq_codes IS NULL"
I need 2nd year CRSS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'CRSS' AND prereq_codes IS NULL"
what are the second year BLCK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'BLCK' AND prereq_codes IS NULL"
get me fourth year SOCY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'SOCY' AND prereq_codes IS NULL"
get me third year ECON courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'ECON' AND prereq_codes IS NULL"
which 4th year EPID courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'EPID' AND prereq_codes IS NULL"
list all 4th year CHEM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'CHEM' AND prereq_codes IS NULL"
get me 4th year BLCK courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'BLCK' AND prereq_codes IS NULL"
I need third year POLS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'POLS' AND prereq_codes IS NULL"
find all 4th year REPD courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'REPD' AND prereq_codes IS NULL"
4th year GEOE courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'GEOE' AND prereq_codes IS NULL"
what are the first year LIBS courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'LIBS' AND prereq_codes IS NULL"
what are the first year ARTF courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'ARTF' AND prereq_codes IS NULL"
what are the second year BCHM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'BCHM' AND prereq_codes IS NULL"
find all 2nd year MINE courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'MINE' AND prereq_codes IS NULL"
show me first year CANC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'CANC' AND prereq_codes IS NULL"
I need first year HLTH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'HLTH' AND prereq_codes IS NULL"
find all third year COMP courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'COMP' AND prereq_codes IS NULL"
find all 2nd year LLCU courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'LLCU' AND prereq_codes IS NULL"
I need 3rd year LLCU courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'LLCU' AND prereq_codes IS NULL"
show me third year ELEC courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'ELEC' AND prereq_codes IS NULL"
which second year EMPR courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'EMPR' AND prereq_codes IS NULL"
get me 3rd year PORT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'PORT' AND prereq_codes IS NULL"
I want to see fourth year ARTH courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'ARTH' AND prereq_codes IS NULL"
1st year NSCI courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_code = 'NSCI' AND prereq_codes IS NULL"
get me 3rd year INTN courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'INTN' AND prereq_codes IS NULL"
find all fourth year GPHY courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'GPHY' AND prereq_codes IS NULL"
I need 2nd year DRAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'DRAM' AND prereq_codes IS NULL"
what are the fourth year EPID courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'EPID' AND prereq_codes IS NULL"
3rd year WRIT courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_code = 'WRIT' AND prereq_codes IS NULL"
fourth year FILM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'FILM' AND prereq_codes IS NULL"
show me second year STAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_code = 'STAM' AND prereq_codes IS NULL"
4th year STAM courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_code = 'STAM' AND prereq_codes IS NULL"
