Unnamed: 0.1,Unnamed: 0,course_code,course_name,units,description,requirements,faculty,outcomes,prerequisites,corequisites,exclusions,recommended,department_name,year,department_code,instructor
10,10,ANAT 391,Introduction to Cadaveric Dissection,3.0,Students work individually and collaboratively to develop macro and microdissection skills using human cadaveric specimens. Students learn how cadaveric dissection for teaching purposes (prosection) influences communication and teaching of anatomy.,"Prerequisite Minimum 3rd year (level 3) standing, registration in a LISC/BCHM/BHSc Major or Specialization Plan, and a minimum standing of B+ in one of ([ANAT 100/3.0 or ANAT 101/3.0; and ANAT 380/3.0]; [ANAT 215/3.0 and ANAT 216/3.0]; [ANAT 315/3.0 and ANAT 316/3.0]).",Faculty of Health Sciences,,"Minimum 3rd year (level 3) standing, registration in a LISC/BCHM/BHSc Major or Specialization Plan, and a minimum standing of B+ in one of ([ANAT 100/3.0 or ANAT 101/3.0; and ANAT 380/3.0]; [ANAT 215/3.0 and ANAT 216/3.0]; [ANAT 315/3.0 and ANAT 316/3.0]).",,,,Anatomy & Cell Biology,3.0,ANAT,
11,11,ANAT 409,Selected Topics in Histology,3.0,"A focused histological and cell biological study of three selected mammalian tissues, organs and/or systems.","Prerequisite Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(ANAT 215/3.0 and ANAT 216/3.0); (ANAT 315/3.0 and ANAT 316/3.0); ANAT 309/3.0].",Faculty of Health Sciences,,"Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(ANAT 215/3.0 and ANAT 216/3.0); (ANAT 315/3.0 and ANAT 316/3.0); ANAT 309/3.0].",,,,Anatomy & Cell Biology,4.0,ANAT,
12,12,ANAT 417,Mammalian Embryonic Development,3.0,"Comprehensive overview of cellular and molecular mechanisms that direct embryogenesis including gastrulation, neurulation, establishment of body axes, differentiation, sex determination, limb development, organogenesis, and teratology. Participation in seminar presentations and group discussions is required.",Prerequisite Level 4 and a GPA of 2.5 and (registration in a LISC Major or Specialization Plan) and (ANAT 309 or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,Faculty of Health Sciences,,Level 4 and a GPA of 2.5 and (registration in a LISC Major or Specialization Plan) and (ANAT 309 or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,,,,Anatomy & Cell Biology,4.0,ANAT,
13,13,ANAT 471,Human Embryology,3.0,"In ANAT 471, students work individually/collaboratively to explore stages of normal human embryonic and fetal development and how changes in underlying mechanisms link to common congenital or developmental abnormalities. Various assessments include quizzes, a journal club, a PBL investigating a developmental abnormality, a midterm and final exam.",Prerequisite Level 3 or above and one of ([ANAT 100 and ANAT 380] or [ANAT 101 and ANAT 380] or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,Faculty of Health Sciences,,Level 3 or above and one of ([ANAT 100 and ANAT 380] or [ANAT 101 and ANAT 380] or [ANAT 215 and ANAT 216] or [ANAT 315 and ANAT 316]).,,,,Anatomy & Cell Biology,4.0,ANAT,
14,14,ANAT 499,Research Project in Anatomy and Cell Biology,12.0,"An examination of the development and present state of knowledge in selected research areas of Anatomy and Cell Biology. Research project involves experimental design, data collection and analysis, written report, poster presentation and oral presentation. Students will be required to attend seminars and tutorials on topics related to research. Limited enrolment; restricted to fourth year honours, permission of the department required.
NOTE Acceptance by a supervisor required prior to registration.
NOTE Students whose research requires the care and/or handling of animals must also complete the Introductory Animal Care Course and if required the appropriate Animal Use workshops through the Office of the University Veterinarian.",Prerequisite Level 4 and registration in a LISC Specialization Plan and a cumulative GPA of 2.50 or higher and ([ANAT 215/3.0 and ANAT 216/3.0] or ANAT 309/3.0 or [ANAT 315/3.0 and ANAT 316/3.0]). Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,Faculty of Health Sciences,,Level 4 and registration in a LISC Specialization Plan and a cumulative GPA of 2.50 or higher and ([ANAT 215/3.0 and ANAT 216/3.0] or ANAT 309/3.0 or [ANAT 315/3.0 and ANAT 316/3.0]).,,Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,,Anatomy & Cell Biology,4.0,ANAT,
15,15,ANAT 599,Research Inquiry in Anatomy,6.0,"ANAT 599 is a course on collaborative research in the Anatomical Sciences. Students will use a team-based approach to devise a research question that addresses a gap in knowledge in the Anatomical Sciences. Research questions may include basic science queries based in human anatomy, and questions related to teaching and learning in the Anatomical Sciences. In small groups, students will develop and carry out comprehensive research objectives, and draft a complete manuscript of the summative work intended for publication in a peer-reviewed academic journal. Using the skills previously gained in ANAT 391, students will also produce a high-quality prosected human anatomical specimen. The goal of prosection is to dissect a specimen in a stepwise manner aimed at teaching the dissected structures. To develop proficiencies in online anatomical education and communicating complex anatomical concepts, students will be expected to use audio and visual elements to create a presentation highlighting the key features of their respective specimens. Students will participate in self-reflection and peer feedback to think critically about their skills in anatomical research and pedagogy. The advancement of the relevant competences will facilitate professional development. The course has various types of assessments including a practical dissected specimen and accompanying presentation video, thoughtful reflection and peer feedback, and a summative research manuscript. Students will have the opportunity to develop a research question with their teams and complete research objectives in a comprehensive and thoughtful manner, mentored by the course instructors.","Prerequisite Level 4 or above and registration in a LISC Major or Specialization, or BHSc Program, and a minimum grade of A- in ANAT 391/3.0. Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.",Faculty of Health Sciences,,"Level 4 or above and registration in a LISC Major or Specialization, or BHSc Program, and a minimum grade of A- in ANAT 391/3.0.",,Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,,Anatomy & Cell Biology,,ANAT,
16,0,ANIM 200,Introduction to Animation,3.0,This course offers a historical overview of animation practices and an introduction to animation theory. The course covers key developments in independent and commercial animation since the birth of the form and offers critical engagement with emerging voices in the field of animation studies.,Prerequisite Level 2 or above.,Faculty of Arts and Science,,Level 2 or above.,,,,Animation,2.0,ANIM,
17,1,ANIM 201,Animation Festival Programming,3.0,"This experiential learning course takes students on a field trip to North America's largest animation festival, the Ottawa International Animation Festival, as a case study in September. Following the trip, the students will conceptualize, develop, curate, and execute their own small student-run animation festival.
NOTE Field Trip: estimated cost $400.
NOTE Students will be given a grade of Pass/Fail for work done.","Prerequisite ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan) or ([FILM 110/6.0 or FILM 111/3.0 or FILM 112/3.0] and permission of the Department).",Faculty of Arts and Science,,"ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan) or ([FILM 110/6.0 or FILM 111/3.0 or FILM 112/3.0] and permission of the Department).",,,,Animation,2.0,ANIM,
18,2,ANIM 400,Special Topics in Animation,3.0,"An advanced course in developing expertise through research and/or praxis in specialized areas of animation production and studies.
NOTE This course is repeatable for credit under different topic titles.","Prerequisite ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan).",Faculty of Arts and Science,,"ANIM 200/3.0 or (registration in a FILM, MAPP, or COFI Plan).",,,,Animation,4.0,ANIM,
19,0,ANSH 101,Beginning Anishinaabe Language and Culture I,3.0,An introduction to the language and culture of the Anishinaabe people. This course is designed for those who have neither been exposed to Anishinaabemowin nor its traditional societal practices. Gain a rich understanding of the Anishinaabe people and their language at the beginning level.,Prerequisite None. Exclusion LLCU 101/3.0* (Topic Title: Anishinaabemowin I).,Faculty of Arts and Science,,None.,,LLCU 101/3.0* (Topic Title: Anishinaabemowin I).,,Anishinaabe,1.0,ANSH,Kimberley Debassige
20,1,ANSH 102,Beginning Anishinaabe Language and Culture II,3.0,"A continuation of ANSH 101. Students will participate and begin to develop the ability to read, write and speak some basic Anishinaabemowin and further their understanding of the rich culture, traditions and worldviews of the Anishinaabe people.",Prerequisite ANSH 101/3.0. Exclusion LLCU 102/3.0* (Topic Title: Anishinaabemowin I).,Faculty of Arts and Science,,ANSH 101/3.0.,,LLCU 102/3.0* (Topic Title: Anishinaabemowin I).,,Anishinaabe,1.0,ANSH,
21,0,ARAB 100,Introductory Arabic (Modern Standard),6.0,"Introduction to the basic structures of Modern Standard Arabic. This course gives intensive training equally in listening, speaking, reading, and writing.",Prerequisite Permission of the Instructor.,Faculty of Arts and Science,,Permission of the Instructor.,,,,Arabic Language,1.0,ARAB,
22,1,ARAB 200,Intermediate Modern Standard Arabic,6.0,"This intensive intermediate-level course is designed to provide a review of the basic elements of Modern Standard Arabic and continues the development of students' communicative skills in reading, writing, listening and speaking Arabic. It will offer an introduction to more complex syntactic and grammatical forms and structures, preparing students for carrying on a simple conversation, reading an intermediate level text, and understanding basic conversations.","Prerequisite ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures. Exclusion ARAB 201/3.0.",Faculty of Arts and Science,,"ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures.",,ARAB 201/3.0.,,Arabic Language,2.0,ARAB,Amal Eldiaby
23,2,ARAB 201,Intermediate Arabic (Modern Standard),3.0,"This course seeks to introduce students to more advanced grammatical structures, to develop reading comprehension, writing, listening, and speaking skills.","Prerequisite ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures. Exclusion ARAB 200/6.0.",Faculty of Arts and Science,,"ARAB 100/6.0 or permission of the Department of Languages, Literatures and Cultures.",,ARAB 200/6.0.,,Arabic Language,2.0,ARAB,
24,0,ARTH 101,Introduction to Visual Studies,3.0,"Course provides an introduction to interdisciplinary theories and concepts in the study of visual culture, to critically interrogate our increasingly visual world.",Prerequisite None.,Faculty of Arts and Science,,None.,,,,Art History,1.0,ARTH,
25,1,ARTH 116,Art and Architecture in Britain from the Classical Period to c.1700,3.0,"A chronological survey of painting, sculpture and architecture in western culture from Greece and Rome through to the early modern period. The art works will be studied at British galleries, museums, and architectural monuments.
NOTE Only offered at Bader College, UK. Students must participate in field trips.",Prerequisite Registration at the Bader College. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,Faculty of Arts and Science,,Registration at the Bader College.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,,Art History,1.0,ARTH,Ruth Cereceda
26,2,ARTH 117,Art and Architecture in Britain from c.1700 to the Present,3.0,"A chronological survey of painting, sculpture and architecture in western culture from c.1700 to the present day. The art works will be studied at British galleries, museums and architectural monuments.
NOTE Also offered at Bader College, UK. Students must participate in field trips.",Prerequisite None. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,Faculty of Arts and Science,,None.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0.,,Art History,1.0,ARTH,
27,3,ARTH 120,Art in the West from Antiquity to Modernity,6.0,"A survey of famous and lesser-known works of painting, sculpture, architecture, and other art forms from Antiquity, the Middle Ages, the Renaissance, the Baroque, and the Modern Age. Themes include politics, religion, mythology, gender roles, techniques, conservation and intersections with non-western cultures.
NOTE Also offered online, consult Arts and Science Online (Learning Hours may vary).",Prerequisite None. Exclusion Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0. Note Students who are considering a plan in Art History should complete ARTH 121/3.0 and/or ARTH 122/3.0.,Faculty of Arts and Science,,None.,,Maximum of 9.0 units from ARTH 116/3.0; ARTH 117/3.0; ARTH 120/6.0. Note Students who are considering a plan in Art History should complete ARTH 121/3.0 and/or ARTH 122/3.0.,,Art History,1.0,ARTH,"Dawn Cunningham, Gauvin Bailey"
28,4,ARTH 121,Introduction to Global Art Histories,3.0,"An introduction to art, architecture, visual and material culture from a global perspective. Organized around themes, it draws parallels and connections between artworks and buildings from across history. Case studies consider art's relationship to religion, colonialism, Indigeneity, and self-representation. Students will develop fundamental skills of analysis, written communication, and research.",Prerequisite None.,Faculty of Arts and Science,,None.,,,,Art History,1.0,ARTH,Gauvin Bailey
29,5,ARTH 122,Curating Art Worlds,3.0,"This course introduces students to key ""art world"" institutions, such as museums, artist-run centres, biennales, and auction houses, by examining their histories, current practices, and future challenges. Using a case study approach, the course provides students with introductory professional skills, concepts and ideas to think and work in a diversity of arts careers while gaining transferable skills.",Prerequisite None.,Faculty of Arts and Science,,None.,,,,Art History,1.0,ARTH,
30,6,ARTH 202,Topics in Arts and Visual Cultures,3.0,"A lecture course on a selected topic. Please contact the Department of Art History and Art Conservation for more details.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
31,7,ARTH 203,Art and Popular Culture,3.0,"This course explores the relationship between the development of a ""popular culture"" and the visual arts between c. 1700-2000 in Europe and North America.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
32,8,ARTH 208,"Caves, Cathedrals, Capitals: Introduction to World Architecture",3.0,"Covering considerable territory, from the painted caves of Niaux in South-West France to megalithic monuments such as Stonehenge, from the villages of the Middle Ages to the cities of Modernity this course introduces key ideas, monuments, building technologies and protagonists in the history of Architecture from prehistory to present.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
33,9,ARTH 210,An Introduction to Technical Art History,3.0,"A course surveying the study of artists' materials and techniques through methods of examination such as X-radiography, infrared reflectography, dendrochronology, and high-resolution digital imaging.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,Ron Spronk
34,10,ARTH 212,Medieval Art,3.0,"An introduction to the arts of the Middle Ages (c.300-1400) from the origins of Christian art under the Emperor Constantine, through the Early Christian, Byzantine, Romanesque and Gothic Periods.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
35,11,ARTH 214,"Antiquity and Nature in Renaissance Art, 1300-1500",3.0,"An exploration of art and architecture in Italy and northern Europe, from the dawn of the Renaissance in Florence to Leonardo's Last Supper. This course explores the revival of ancient styles and themes, the influence of the study of nature, and encounters with the world beyond the borders of Europe.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,Cathleen Hoeniger
36,12,ARTH 215,"Humanity and Divinity in Renaissance Art, 1500-1600",3.0,"By examining the variety and complexity of Renaissance art, from Michelangelo's muscular giants to Bosch's perversely playful monsters, this course explores how Renaissance artists and their patrons understood what it means to be human and how they imagined in new ways God, Heaven, Hell, and angels (genderless and bodiless beings). By discussing both such famous works as Leonardo da Vinci's Mona Lisa and such little-known ones as prints of witches, we will study ideals of gender, constructions of power, and depictions of marginalized peoples.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
37,13,ARTH 220,Socially Engaged Art,3.0,"An introduction to socially engaged art around the world. Using a case study approach, the course will consider the role of art and artists within social movements and study the practices of individual artists or collectives who use their work as a tool for social change.",Prerequisite Level 2 or above.,Faculty of Arts and Science,,Level 2 or above.,,,,Art History,2.0,ARTH,Jennifer Kennedy
38,14,ARTH 222,Impressionism and Post-Impressionism,3.0,"This course offers a unique opportunity to study the art of Manet, Degas, Monet and Van Gogh, where many of the paintings studied will be viewed on gallery visits to London and Paris. Some of the classes will take place in the Musée D'Orsay in Paris and the National Gallery and Courtauld Institute in London. Further classes at Herstmonceux Castle explore gender debates, the French nude and Paris as the fashionable centre of modernity.
NOTE Only offered at Bader College, UK. Students must participate in field trips.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
39,15,ARTH 225,Fashion and Art: From the Renaissance to the Present,3.0,"This course considers the relationship between the fashion and art from the Renaissance to the present. Through an exploration of objects and images, it examines social and cultural changes in Western dress, artists' use of clothing to construct narratives, and fashion itself as a form of artistic representation.",Prerequisite (Level 2 or above) or permission of the Department. Recommended ARTH 120.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,ARTH 120.,Art History,2.0,ARTH,
40,16,ARTH 226,Modern Arts in a Globalizing World,3.0,"This course examines the histories, meanings, and sites of modern arts in a globalizing world. Students become familiar with key art works, transnational and global networks of art, shifts in critical conceptions, and art historical problems surrounding modernity, modernisms, and modern arts.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
41,17,ARTH 228,Contemporary Art in a Globalizing World,3.0,"This course will examine the histories, meanings and sites of contemporary art in a globalizing world. Students will become familiar not only with the works themselves, but with shifts in critical conceptions and popular media that affect the production, display, circulation, and reception of contemporary art.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
42,18,ARTH 232,Art in Canada,3.0,"An introduction to the histories of Indigenous and settler art in Canada from pre-contact to the end of the 20th century. Through close study of visual and material culture, students will become familiar not only with the works themselves, but with the historical, cultural, political, and social contexts of their production and reception.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
43,19,ARTH 234,Introduction to African Arts,3.0,"An introduction to the arts and visual culture of Africa, encompassing traditional or classic African arts, as well as modern and contemporary artists. The course also examines how the African art field was shaped, and its critical turning points.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
44,20,ARTH 242,Introduction to History of Photography,3.0,"An introduction to the history of photography as technology, art, and social practice. Within the larger historical contexts of society and culture, this course surveys key developments and applications in France, England, and the United States, and their spread to other parts of the world, and considers the work of major photographers and their influence.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,
45,21,ARTH 245,Art and Architecture in Venice,6.0,"Instruction in Venice based on daily study tours to the city's monuments and galleries. Each week a visit will be organized to an important centre in the Venice region.
NOTE Costs of travel and accommodation abroad must be paid by the student. Consult the Department for the costs involved.",Prerequisite A minimum of 6.0 units in ARTH.,Faculty of Arts and Science,,A minimum of 6.0 units in ARTH.,,,,Art History,2.0,ARTH,
46,22,ARTH 248,Introduction to Indigenous Arts of North America,3.0,"An introduction to the arts and visual culture of the Indigenous peoples of North America from north of the Rio Grande to the Arctic, encompassing pre-history, colonialism, and the modern period. Key works from six regional zones are studied in their historical and cultural contexts.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,,Art History,2.0,ARTH,Norman Vorano
